//X,Y,Z,R,G,B,Classification,Intensity,GpsTime,ReturnNumber,NumberOfReturns,UserData,PointSourceId
-152.94500732,48.95700073,0.94599998,152,130,89,0.000000,8.000000,-140682.703125,1.000000,2.000000,54.000000,1.000000
-149.57299805,44.17699814,2.36500001,160,130,108,0.000000,7.000000,-140682.687500,1.000000,2.000000,62.000000,1.000000
-150.17199707,45.79499817,5.36499977,159,131,107,0.000000,5.000000,-140682.687500,1.000000,2.000000,77.000000,1.000000
-152.43099976,48.84799957,0.93500000,150,132,92,0.000000,13.000000,-140682.687500,1.000000,2.000000,54.000000,1.000000
-149.01899719,44.04100037,2.36100006,148,131,92,0.000000,39.000000,-140682.687500,1.000000,3.000000,62.000000,1.000000
-149.12100220,43.75799942,-0.01900000,155,119,96,0.000000,10.000000,-140682.687500,2.000000,3.000000,50.000000,1.000000
-148.41900635,43.92599869,2.32399988,159,128,103,0.000000,7.000000,-140682.671875,1.000000,3.000000,62.000000,1.000000
-148.51600647,43.65399933,0.02500000,159,133,105,0.000000,23.000000,-140682.671875,2.000000,3.000000,50.000000,1.000000
-151.13900757,48.36999893,0.92900002,179,147,109,0.000000,16.000000,-140682.671875,1.000000,2.000000,54.000000,1.000000
-147.67300415,43.61700058,2.29399991,164,139,104,0.000000,23.000000,-140682.671875,1.000000,3.000000,62.000000,1.000000
-147.76800537,43.34500122,0.01400000,172,137,111,0.000000,9.000000,-140682.671875,2.000000,3.000000,50.000000,1.000000
-147.19799805,43.50799942,2.27300000,196,152,111,0.000000,16.000000,-140682.656250,1.000000,3.000000,62.000000,1.000000
-146.67700195,43.38299942,2.26699996,178,140,110,0.000000,11.000000,-140682.656250,1.000000,3.000000,62.000000,1.000000
-146.52499390,44.61500168,5.25199986,164,132,99,0.000000,7.000000,-140682.640625,1.000000,2.000000,76.000000,1.000000
-148.76300049,47.66699982,0.86000001,168,138,114,0.000000,53.000000,-140682.640625,1.000000,2.000000,54.000000,1.000000
-148.00799561,47.36999893,0.92299998,171,137,112,0.000000,5.000000,-140682.640625,1.000000,2.000000,54.000000,1.000000
-147.52900696,47.23699951,0.80900002,165,140,110,0.000000,21.000000,-140682.625000,1.000000,2.000000,54.000000,1.000000
-144.76800537,44.01499939,5.20599985,153,132,95,0.000000,5.000000,-140682.625000,1.000000,2.000000,76.000000,1.000000
-146.99699402,47.06299973,0.81800002,182,147,119,0.000000,29.000000,-140682.625000,1.000000,2.000000,54.000000,1.000000
-144.17599487,43.85200119,5.17399979,175,141,102,0.000000,11.000000,-140682.609375,1.000000,2.000000,76.000000,1.000000
-146.40699768,46.90299988,0.76700002,159,135,99,0.000000,12.000000,-140682.609375,1.000000,2.000000,53.000000,1.000000
-145.16700745,46.46200180,0.79799998,164,140,103,0.000000,33.000000,-140682.609375,1.000000,2.000000,54.000000,1.000000
-144.61799622,46.28900146,0.74000001,162,136,104,0.000000,24.000000,-140682.593750,1.000000,2.000000,53.000000,1.000000
-144.00000000,46.13700104,0.75400001,164,128,100,0.000000,30.000000,-140682.593750,1.000000,2.000000,53.000000,1.000000
-142.74899292,45.63800049,0.70200002,154,132,107,0.000000,7.000000,-140682.578125,1.000000,2.000000,53.000000,1.000000
-141.63299561,45.35100174,0.68599999,150,120,82,0.000000,37.000000,-140682.562500,1.000000,2.000000,53.000000,1.000000
-140.33799744,44.89899826,0.67100000,146,118,91,0.000000,13.000000,-140682.546875,1.000000,2.000000,53.000000,1.000000
-139.76899719,44.75600052,0.68699998,144,118,81,0.000000,29.000000,-140682.531250,1.000000,2.000000,53.000000,1.000000
-139.13600159,44.59500122,0.64200002,182,151,110,0.000000,8.000000,-140682.531250,1.000000,2.000000,53.000000,1.000000
-138.36999512,44.26599884,0.62300003,157,125,87,0.000000,12.000000,-140682.515625,1.000000,2.000000,53.000000,1.000000
-137.85200500,44.12300110,0.63300002,149,117,94,0.000000,21.000000,-140682.515625,1.000000,2.000000,53.000000,1.000000
-137.28599548,43.95299911,0.58999997,159,131,109,0.000000,27.000000,-140682.500000,1.000000,2.000000,52.000000,1.000000
-136.66099548,43.83900070,0.62599999,165,138,95,0.000000,7.000000,-140682.500000,1.000000,2.000000,53.000000,1.000000
-135.88400269,43.52099991,0.57499999,168,133,105,0.000000,31.000000,-140682.484375,1.000000,2.000000,52.000000,1.000000
-135.36099243,43.40000153,0.54400003,157,122,90,0.000000,11.000000,-140682.484375,1.000000,2.000000,52.000000,1.000000
-147.29400635,43.23500061,-0.02700000,172,133,113,0.000000,33.000000,-140682.656250,2.000000,3.000000,50.000000,1.000000
-146.77299500,43.10699844,-0.05500000,176,133,105,0.000000,33.000000,-140682.656250,2.000000,3.000000,50.000000,1.000000
-145.92999268,43.01599884,2.26399994,164,133,98,0.000000,6.000000,-140682.640625,1.000000,2.000000,62.000000,1.000000
-145.31900024,42.94599915,2.22700000,184,148,110,0.000000,9.000000,-140682.640625,1.000000,3.000000,61.000000,1.000000
-145.40899658,42.67200089,-0.06300000,164,140,106,0.000000,18.000000,-140682.640625,2.000000,3.000000,50.000000,1.000000
-144.39100647,42.36299896,-0.10700000,164,140,102,0.000000,10.000000,-140682.625000,1.000000,2.000000,50.000000,1.000000
-143.56700134,42.23600006,2.19600010,170,143,106,0.000000,6.000000,-140682.609375,1.000000,2.000000,61.000000,1.000000
-142.96000671,42.14199829,2.16700006,148,126,89,0.000000,31.000000,-140682.609375,1.000000,3.000000,61.000000,1.000000
-143.04699707,41.86500168,-0.13200000,202,160,119,0.000000,31.000000,-140682.609375,2.000000,3.000000,50.000000,1.000000
-142.46099854,41.99800110,2.11199999,172,142,111,0.000000,10.000000,-140682.609375,1.000000,3.000000,61.000000,1.000000
-142.54499817,41.72800064,-0.13000000,172,138,103,0.000000,25.000000,-140682.609375,2.000000,3.000000,50.000000,1.000000
-141.92500305,41.86100006,2.13700008,148,119,92,0.000000,6.000000,-140682.593750,1.000000,3.000000,61.000000,1.000000
-142.01100159,41.58200073,-0.17800000,160,127,97,0.000000,18.000000,-140682.593750,2.000000,3.000000,49.000000,1.000000
-141.78199768,43.08599854,5.15799999,160,127,93,0.000000,5.000000,-140682.593750,1.000000,2.000000,76.000000,1.000000
-140.56300354,41.37799835,2.12599993,152,134,94,0.000000,28.000000,-140682.578125,1.000000,3.000000,61.000000,1.000000
-140.64700317,41.09600067,-0.20100001,174,138,102,0.000000,20.000000,-140682.578125,2.000000,3.000000,49.000000,1.000000
-140.07000732,41.22299957,2.07100010,156,130,93,0.000000,11.000000,-140682.578125,1.000000,3.000000,60.000000,1.000000
-140.14999390,40.95100021,-0.17600000,167,134,97,0.000000,34.000000,-140682.578125,2.000000,3.000000,49.000000,1.000000
-139.53900146,41.06299973,2.09999990,153,126,79,0.000000,12.000000,-140682.562500,1.000000,3.000000,60.000000,1.000000
-139.61900330,40.78499985,-0.19300000,179,142,100,0.000000,29.000000,-140682.562500,2.000000,3.000000,49.000000,1.000000
-139.02600098,40.64699936,-0.19599999,163,131,93,0.000000,7.000000,-140682.562500,1.000000,2.000000,49.000000,1.000000
-139.41999817,42.31299973,5.20499992,174,144,109,0.000000,7.000000,-140682.562500,1.000000,2.000000,76.000000,1.000000
-138.17700195,40.59099960,2.05999994,160,131,89,0.000000,20.000000,-140682.546875,1.000000,3.000000,60.000000,1.000000
-138.25300598,40.31700134,-0.19000000,170,141,101,0.000000,7.000000,-140682.546875,2.000000,3.000000,49.000000,1.000000
-137.65499878,40.45999908,2.03099990,167,131,83,0.000000,15.000000,-140682.546875,1.000000,3.000000,60.000000,1.000000
-137.72999573,40.18500137,-0.23000000,201,152,119,0.000000,21.000000,-140682.546875,2.000000,3.000000,49.000000,1.000000
-137.07699585,40.30099869,2.05900002,162,130,89,0.000000,11.000000,-140682.531250,1.000000,3.000000,60.000000,1.000000
